slug,title,description,type,level,body_part,equipment_required,lugar_entrenamiento,met,ranking_score,rating,rating_desc
partner-plank-band-row,Partner plank band row,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Fuerza,Intermedio,Abdomen,['Bandas'],['Casa'],5.0,0.467,0.0,
banded-crunch-isometric-hold,Banded crunch isometric hold,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Fuerza,Intermedio,Abdomen,['Bandas'],['Casa'],5.0,0.467,,
fyr-banded-plank-jack,FYR Banded Plank Jack,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Fuerza,Intermedio,Abdomen,['Bandas'],['Casa'],5.0,0.467,,
banded-crunch,Banded crunch,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Fuerza,Intermedio,Abdomen,['Bandas'],['Casa'],5.0,0.467,,
crunch,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Fuerza,Intermedio,Abdomen,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
decline-band-press-sit-up,Decline band press sit-up,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Fuerza,Intermedio,Abdomen,"['Banco', 'Bandas']",['Casa'],5.0,0.517,,
fyr2-banded-frog-pump,FYR2 Banded Frog Pump,,Fuerza,Intermedio,Abdomen,['Bandas'],['Casa'],5.0,0.467,,
band-low-to-high-twist,Band low-to-high twist,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Fuerza,Intermedio,Abdomen,['Bandas'],['Casa'],5.0,0.467,,
barbell-roll-out,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,8.9,Average
barbell-ab-rollout-on-knees,Barbell Ab Rollout - On Knees,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Fuerza,Intermedio,Abdomen,['Barra'],['Casa'],5.0,0.467,8.9,Average
decline-bar-press-sit-up,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Fuerza,Intermedio,Abdomen,['Banco'],['Casa'],5.0,0.467,8.5,Average
bench-barbell-roll-out,Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Fuerza,Principiante,Abdomen,"['Banco', 'Barra']",['Casa'],5.0,0.517,8.3,Average
barbell-side-bend,Barbell Side Bend,,Fuerza,Principiante,Abdomen,['Barra'],['Casa'],5.0,0.467,7.0,Average
